"Participant_ID","Age","Gender","Location","Education","COVID_Awareness_Level","Received_Info_Social_Media","Vaccine_Hesitancy","Reasons_For_Hesitancy"
1,56,"Male","Urban","Graduate School","High","No","No",""
2,46,"Female","Urban","High School","High","Yes","Not Sure","Concerns about side effects"
3,32,"Male","Suburban","Graduate School","Medium","No","No",""
4,60,"Male","Urban","Graduate School","Medium","No","Not Sure",""
5,25,"Male","Urban","High School","Low","Yes","Yes",""
6,38,"Male","Rural","High School","Medium","No","No",""
7,56,"Male","Suburban","College","Low","Yes","No",""
8,36,"Female","Rural","College","Low","Yes","Yes",""
9,40,"Female","Rural","College","Medium","Yes","Not Sure",""
10,28,"Male","Suburban","College","Low","No","Not Sure","Concerns about side effects"
11,28,"Male","Suburban","High School","Low","No","Not Sure","Concerns about side effects"
12,41,"Male","Urban","Graduate School","High","No","Not Sure","Concerns about side effects"
13,53,"Female","Rural","Graduate School","Low","No","Yes",""
14,57,"Female","Suburban","Graduate School","Medium","No","Yes","Concerns about side effects"
15,41,"Male","Rural","College","Medium","No","Yes",""
16,20,"Male","Rural","High School","Low","No","Yes","Concerns about side effects"
17,39,"Female","Suburban","High School","High","No","No",""
18,19,"Male","Urban","High School","Medium","No","No",""
19,41,"Female","Rural","Graduate School","Medium","No","No","Concerns about side effects"
20,61,"Female","Suburban","College","High","No","Yes",""
21,47,"Male","Urban","High School","Low","Yes","Not Sure",""
22,55,"Female","Rural","College","Medium","No","No","Concerns about side effects"
23,19,"Male","Suburban","High School","Low","Yes","No",""
24,38,"Male","Rural","College","Low","Yes","Yes",""
25,50,"Male","Suburban","High School","Low","Yes","Not Sure",""
26,29,"Male","Suburban","College","Low","Yes","Not Sure","Concerns about side effects"
27,39,"Male","Rural","High School","Medium","No","Not Sure",""
28,61,"Male","Rural","High School","High","Yes","Yes",""
29,42,"Female","Suburban","College","Medium","Yes","Not Sure","Concerns about side effects"
30,44,"Female","Urban","College","High","Yes","No",""
31,59,"Female","Rural","Graduate School","Low","No","No",""
32,45,"Female","Suburban","College","High","Yes","No",""
33,33,"Male","Suburban","High School","Low","Yes","Yes",""
34,32,"Female","Urban","High School","Medium","No","Not Sure",""
35,64,"Female","Urban","College","Medium","No","Yes",""
36,61,"Female","Urban","Graduate School","High","No","Not Sure",""
37,20,"Male","Rural","College","Low","No","Yes",""
38,54,"Female","Suburban","High School","Low","No","No",""
39,24,"Male","Suburban","High School","High","No","Yes",""
40,38,"Female","Suburban","Graduate School","Low","No","Yes",""
41,26,"Male","Urban","College","Low","No","Yes",""
42,56,"Male","Suburban","High School","Low","No","No",""
43,35,"Female","Rural","High School","Medium","Yes","Yes",""
44,21,"Male","Urban","High School","Medium","No","Yes",""
45,42,"Male","Urban","College","Medium","Yes","No",""
46,31,"Female","Urban","College","Low","Yes","Not Sure",""
47,26,"Female","Urban","Graduate School","Medium","No","Yes",""
48,43,"Female","Rural","High School","Low","No","No",""
49,19,"Male","Suburban","High School","Low","No","Yes",""
50,37,"Male","Rural","Graduate School","High","No","No",""
51,45,"Male","Suburban","High School","Low","Yes","Not Sure",""
52,64,"Female","Rural","Graduate School","Medium","Yes","Not Sure",""
53,24,"Male","Urban","Graduate School","Medium","No","Yes",""
54,61,"Male","Urban","High School","Low","Yes","No","Concerns about side effects"
55,25,"Male","Rural","College","Medium","No","Not Sure",""
56,64,"Male","Rural","College","Low","Yes","Not Sure","Concerns about side effects"
57,52,"Male","Suburban","College","High","Yes","No","Concerns about side effects"
58,31,"Male","Rural","College","Low","No","Yes",""
59,34,"Male","Rural","High School","Low","No","Not Sure",""
60,53,"Female","Suburban","Graduate School","High","Yes","Not Sure",""
61,57,"Female","Suburban","Graduate School","Medium","No","Not Sure",""
62,21,"Female","Suburban","High School","High","Yes","Yes","Concerns about side effects"
63,19,"Male","Rural","College","High","No","Not Sure",""
64,23,"Male","Suburban","Graduate School","Low","No","No",""
65,59,"Female","Urban","High School","Low","No","Yes","Concerns about side effects"
66,21,"Male","Urban","High School","High","No","Not Sure",""
67,46,"Female","Urban","College","Medium","No","No",""
68,35,"Male","Rural","High School","High","No","No",""
69,43,"Male","Urban","Graduate School","Medium","No","Yes",""
70,61,"Female","Rural","Graduate School","High","Yes","No",""
71,51,"Female","Rural","High School","High","No","Yes",""
72,27,"Female","Urban","Graduate School","Medium","Yes","Yes",""
73,53,"Female","Suburban","High School","High","No","Yes","Concerns about side effects"
74,31,"Female","Rural","Graduate School","Low","Yes","No",""
75,48,"Male","Urban","College","High","No","Yes","Concerns about side effects"
76,32,"Male","Rural","Graduate School","Low","No","Yes",""
77,25,"Male","Suburban","College","Medium","Yes","No",""
78,31,"Female","Suburban","College","Medium","No","Yes",""
79,40,"Female","Urban","High School","Low","No","Not Sure","Concerns about side effects"
80,57,"Female","Rural","College","High","No","No",""
81,38,"Female","Rural","Graduate School","Low","No","No","Concerns about side effects"
82,33,"Female","Rural","Graduate School","Low","No","No",""
83,62,"Female","Rural","College","Medium","Yes","Not Sure",""
84,35,"Male","Urban","High School","Low","No","Yes",""
85,64,"Male","Suburban","College","High","Yes","No","Concerns about side effects"
86,41,"Male","Urban","Graduate School","Low","Yes","No",""
87,43,"Male","Rural","Graduate School","Medium","Yes","No",""
88,42,"Male","Rural","College","High","Yes","Not Sure",""
89,62,"Female","Suburban","College","Medium","Yes","Not Sure",""
90,58,"Female","Rural","College","Low","Yes","Not Sure","Concerns about side effects"
91,46,"Female","Urban","Graduate School","Low","Yes","Yes",""
92,32,"Female","Urban","Graduate School","Medium","Yes","Yes",""
93,62,"Female","Suburban","Graduate School","Medium","No","Not Sure",""
94,18,"Female","Urban","High School","High","Yes","Yes",""
95,42,"Male","Urban","Graduate School","Medium","No","Not Sure","Concerns about side effects"
96,24,"Female","Urban","Graduate School","Medium","Yes","Yes",""
97,26,"Female","Urban","High School","Low","Yes","Yes","Concerns about side effects"
98,41,"Female","Rural","High School","Low","No","Not Sure",""
99,18,"Female","Urban","High School","Medium","Yes","No",""
100,61,"Male","Suburban","High School","Medium","No","No",""
101,25,"Male","Suburban","High School","Low","Yes","Yes",""
102,41,"Female","Urban","High School","High","No","Yes","Concerns about side effects"
103,28,"Male","Suburban","College","High","No","Yes","Concerns about side effects"
104,34,"Male","Urban","College","High","Yes","Yes","Concerns about side effects"
105,25,"Female","Suburban","College","High","Yes","Yes","Concerns about side effects"
106,52,"Female","Suburban","College","Low","Yes","Yes",""
107,52,"Female","Urban","Graduate School","Medium","Yes","Not Sure",""
108,50,"Female","Urban","High School","High","No","No",""
109,22,"Female","Rural","Graduate School","Low","No","No",""
110,59,"Male","Urban","High School","Medium","No","Not Sure",""
111,56,"Female","Urban","High School","High","No","Not Sure",""
112,58,"Female","Rural","Graduate School","Medium","No","No",""
