Participant_ID,Age_x,Gender_x,Location_x,Education_x,COVID_Awareness_Level_x,Received_Info_Social_Media_x,Vaccine_Hesitancy_x,Reasons_For_Hesitancy_x,Ad_Type_x,Feel_About_Info_Social_Media,Age_y,Gender_y,Location_y,Education_y,COVID_Awareness_Level_y,Received_Info_Social_Media_y,Vaccine_Hesitancy_y,Reasons_For_Hesitancy_y,Ad_Type_y,Received_Vaccine,Influenced_Decision,Effectiveness_Reason_Ad,Effectiveness_Emotions_Ad
1,56,Male,Urban,Graduate School,High,No,No,,Emotions,Positive,56,Male,Urban,Graduate School,High,No,No,,Emotions,Yes,Emotions Ad,,Somewhat effective
2,46,Female,Urban,High School,High,Yes,Not Sure,Concerns about side effects,Reason,Negative,46,Female,Urban,High School,High,Yes,Not Sure,Concerns about side effects,Reason,No,Not Applicable,Somewhat effective,
3,32,Male,Suburban,Graduate School,Medium,No,No,,Reason,Neutral,32,Male,Suburban,Graduate School,Medium,No,No,,Reason,Yes,Other,Somewhat effective,
4,60,Male,Urban,Graduate School,Medium,No,Not Sure,,Emotions,Negative,60,Male,Urban,Graduate School,Medium,No,Not Sure,,Emotions,Yes,Emotions Ad,,Very effective
5,25,Male,Urban,High School,Low,Yes,Yes,,Reason,Neutral,25,Male,Urban,High School,Low,Yes,Yes,,Reason,No,Not Applicable,Not at all effective,
6,38,Male,Rural,High School,Medium,No,No,,Emotions,Positive,38,Male,Rural,High School,Medium,No,No,,Emotions,Yes,Reason Ad,,Very effective
7,56,Male,Suburban,College,Low,Yes,No,,Reason,Negative,56,Male,Suburban,College,Low,Yes,No,,Reason,Yes,Emotions Ad,Very effective,
8,36,Female,Rural,College,Low,Yes,Yes,,Control,Negative,36,Female,Rural,College,Low,Yes,Yes,,Control,Yes,Other,,
9,40,Female,Rural,College,Medium,Yes,Not Sure,,Control,Positive,40,Female,Rural,College,Medium,Yes,Not Sure,,Control,No,Not Applicable,,
10,28,Male,Suburban,College,Low,No,Not Sure,Concerns about side effects,Emotions,Positive,28,Male,Suburban,College,Low,No,Not Sure,Concerns about side effects,Emotions,Yes,Emotions Ad,,Very effective
11,28,Male,Suburban,High School,Low,No,Not Sure,Concerns about side effects,Emotions,Neutral,28,Male,Suburban,High School,Low,No,Not Sure,Concerns about side effects,Emotions,Yes,Reason Ad,,Not at all effective
12,41,Male,Urban,Graduate School,High,No,Not Sure,Concerns about side effects,Emotions,Neutral,41,Male,Urban,Graduate School,High,No,Not Sure,Concerns about side effects,Emotions,Yes,Reason Ad,,Somewhat effective
13,53,Female,Rural,Graduate School,Low,No,Yes,,Emotions,Positive,53,Female,Rural,Graduate School,Low,No,Yes,,Emotions,No,Not Applicable,,Not at all effective
14,57,Female,Suburban,Graduate School,Medium,No,Yes,Concerns about side effects,Control,Positive,57,Female,Suburban,Graduate School,Medium,No,Yes,Concerns about side effects,Control,No,Not Applicable,,
15,41,Male,Rural,College,Medium,No,Yes,,Emotions,Negative,41,Male,Rural,College,Medium,No,Yes,,Emotions,No,Not Applicable,,Not at all effective
16,20,Male,Rural,High School,Low,No,Yes,Concerns about side effects,Reason,Negative,20,Male,Rural,High School,Low,No,Yes,Concerns about side effects,Reason,No,Not Applicable,Somewhat effective,
17,39,Female,Suburban,High School,High,No,No,,Reason,Neutral,39,Female,Suburban,High School,High,No,No,,Reason,Yes,Reason Ad,Not at all effective,
18,19,Male,Urban,High School,Medium,No,No,,Emotions,Negative,19,Male,Urban,High School,Medium,No,No,,Emotions,Yes,Emotions Ad,,Somewhat effective
19,41,Female,Rural,Graduate School,Medium,No,No,Concerns about side effects,Reason,Positive,41,Female,Rural,Graduate School,Medium,No,No,Concerns about side effects,Reason,Yes,Reason Ad,Not at all effective,
