"Participant_ID","Ad_Type","Feel_About_Info_Social_Media"
1,"Emotions","Positive"
2,"Reason","Negative"
3,"Reason","Neutral"
4,"Emotions","Negative"
5,"Reason","Neutral"
6,"Emotions","Positive"
7,"Reason","Negative"
8,"Control","Negative"
9,"Control","Positive"
10,"Emotions","Positive"
11,"Emotions","Neutral"
12,"Emotions","Neutral"
13,"Emotions","Positive"
14,"Control","Positive"
15,"Emotions","Negative"
16,"Reason","Negative"
17,"Reason","Neutral"
18,"Emotions","Negative"
19,"Reason","Positive"
20,"Emotions","Positive"
21,"Reason","Positive"
22,"Reason","Positive"
23,"Emotions","Neutral"
24,"Emotions","Positive"
25,"Control","Positive"
26,"Emotions","Positive"
27,"Control","Positive"
28,"Emotions","Neutral"
29,"Reason","Neutral"
30,"Control","Negative"
31,"Reason","Neutral"
32,"Emotions","Neutral"
33,"Emotions","Neutral"
34,"Emotions","Negative"
35,"Emotions","Positive"
36,"Control","Negative"
37,"Control","Positive"
38,"Emotions","Neutral"
39,"Reason","Positive"
40,"Control","Negative"
41,"Reason","Positive"
42,"Emotions","Positive"
43,"Control","Neutral"
44,"Control","Positive"
45,"Control","Positive"
46,"Reason","Neutral"
47,"Emotions","Negative"
48,"Emotions","Neutral"
49,"Control","Positive"
50,"Control","Neutral"
51,"Emotions","Neutral"
52,"Reason","Positive"
53,"Control","Negative"
54,"Reason","Neutral"
55,"Reason","Negative"
56,"Emotions","Neutral"
57,"Emotions","Positive"
58,"Reason","Positive"
59,"Reason","Neutral"
60,"Emotions","Neutral"
61,"Control","Neutral"
62,"Reason","Positive"
63,"Control","Neutral"
64,"Reason","Positive"
65,"Emotions","Neutral"
66,"Control","Positive"
67,"Emotions","Neutral"
68,"Reason","Negative"
69,"Emotions","Negative"
70,"Control","Positive"
71,"Emotions","Neutral"
72,"Control","Negative"
73,"Emotions","Neutral"
74,"Emotions","Neutral"
75,"Control","Neutral"
76,"Control","Negative"
77,"Control","Positive"
78,"Reason","Negative"
79,"Emotions","Positive"
80,"Control","Negative"
81,"Reason","Neutral"
82,"Reason","Neutral"
83,"Control","Neutral"
84,"Control","Negative"
85,"Control","Negative"
86,"Reason","Positive"
87,"Reason","Negative"
88,"Emotions","Positive"
89,"Reason","Negative"
90,"Control","Neutral"
91,"Emotions","Negative"
92,"Emotions","Neutral"
93,"Emotions","Negative"
94,"Emotions","Positive"
95,"Control","Negative"
96,"Emotions","Neutral"
97,"Control","Negative"
98,"Reason","Positive"
99,"Control","Positive"
100,"Emotions","Positive"
101,"Reason","Positive"
102,"Reason","Negative"
103,"Reason","Positive"
104,"Emotions","Negative"
105,"Control","Negative"
106,"Control","Negative"
107,"Emotions","Positive"
108,"Emotions","Positive"
109,"Reason","Negative"
110,"Control","Negative"
111,"Emotions","Negative"
112,"Emotions","Neutral"
113,"Control","Neutral"
114,"Reason","Positive"
115,"Reason","Neutral"
116,"Reason","Negative"
117,"Control","Negative"
118,"Emotions","Positive"
119,"Emotions","Positive"
120,"Emotions","Neutral"
121,"Emotions","Negative"
122,"Control","Positive"
123,"Reason","Positive"
124,"Reason","Neutral"
125,"Reason","Positive"
126,"Reason","Neutral"
127,"Emotions","Negative"
128,"Emotions","Neutral"
129,"Control","Positive"
130,"Reason","Neutral"
131,"Emotions","Neutral"
132,"Emotions","Negative"
133,"Emotions","Neutral"
134,"Reason","Positive"
135,"Emotions","Positive"
136,"Reason","Negative"
137,"Reason","Negative"
138,"Control","Negative"
139,"Control","Positive"
140,"Reason","Neutral"
141,"Reason","Positive"
142,"Reason","Positive"
143,"Emotions","Negative"
144,"Emotions","Negative"
145,"Emotions","Neutral"
146,"Control","Neutral"
147,"Reason","Neutral"
148,"Emotions","Neutral"
149,"Emotions","Positive"
150,"Control","Neutral"
151,"Control","Positive"
152,"Reason","Positive"
153,"Reason","Neutral"
154,"Emotions","Neutral"
155,"Emotions","Positive"
156,"Emotions","Negative"
157,"Emotions","Neutral"
158,"Emotions","Negative"
159,"Control","Positive"
160,"Reason","Negative"
161,"Control","Positive"
162,"Reason","Negative"
163,"Reason","Negative"
164,"Reason","Negative"
165,"Control","Positive"
166,"Emotions","Positive"
167,"Reason","Positive"
168,"Reason","Neutral"
169,"Control","Positive"
170,"Control","Neutral"
171,"Emotions","Positive"
172,"Emotions","Neutral"
173,"Reason","Negative"
174,"Control","Negative"
175,"Emotions","Positive"
176,"Emotions","Neutral"
177,"Emotions","Negative"
178,"Control","Negative"
179,"Control","Neutral"
180,"Control","Positive"
181,"Control","Negative"
182,"Control","Positive"
183,"Reason","Positive"
184,"Reason","Neutral"
185,"Control","Neutral"
186,"Reason","Negative"
187,"Control","Neutral"
188,"Reason","Negative"
189,"Reason","Negative"
190,"Emotions","Negative"
191,"Control","Positive"
192,"Reason","Positive"
193,"Reason","Neutral"
194,"Emotions","Neutral"
195,"Reason","Negative"
196,"Emotions","Negative"
197,"Reason","Positive"
198,"Emotions","Positive"
199,"Emotions","Negative"
200,"Control","Negative"
201,"Control","Neutral"
202,"Reason","Negative"
203,"Control","Negative"
204,"Control","Negative"
205,"Control","Positive"
206,"Reason","Positive"
207,"Reason","Neutral"
208,"Control","Neutral"
209,"Control","Neutral"
210,"Reason","Negative"
211,"Control","Negative"
212,"Emotions","Positive"
213,"Reason","Negative"
214,"Reason","Negative"
215,"Emotions","Positive"
216,"Control","Neutral"
217,"Emotions","Negative"
218,"Control","Positive"
219,"Control","Positive"
220,"Reason","Neutral"
221,"Reason","Positive"
222,"Control","Neutral"
223,"Emotions","Neutral"
224,"Reason","Neutral"
225,"Control","Neutral"
226,"Reason","Neutral"
227,"Reason","Positive"
228,"Reason","Negative"
229,"Emotions","Neutral"
230,"Emotions","Neutral"
231,"Control","Negative"
232,"Emotions","Negative"
233,"Control","Neutral"
234,"Control","Negative"
235,"Reason","Neutral"
236,"Reason","Positive"
237,"Emotions","Negative"
238,"Control","Negative"
239,"Control","Positive"
240,"Reason","Negative"
